Número total de Estabelecimentos ou Unidades Locais - Industria
Sigla,Código,Município,1970,1975,1980,1985,1995,
BA,2919926,Madre de Deus,,,,,5,
BA,2919959,Maetinga,,,,,0,
BA,2920007,Maiquinique,7,10,8,11,6,
BA,2920106,Mairi,11,19,16,40,5,
BA,2920205,Malhada,10,21,6,13,1,
BA,2920304,Malhada de Pedras,,1,1,8,4,
BA,2920403,Manoel Vitorino,2,3,12,,3,
BA,2920452,Mansidão,,,,,0,
BA,2920502,Maracás,16,2,10,19,22,
BA,2920601,Maragogipe,48,48,26,46,9,
BA,2920700,Maraú,5,7,9,1,3,
BA,2920809,Marcionílio Souza,2,,8,15,1,
BA,2920908,Mascote,4,4,8,25,6,
BA,2921005,Mata de São João,14,16,28,20,27,
BA,2921054,Matina,,,,,2,
BA,2921104,Medeiros Neto,6,29,37,29,14,
BA,2921203,Miguel Calmon,11,24,24,34,14,
BA,2921302,Milagres,11,15,33,29,9,
BA,2921401,Mirangaba,7,41,7,7,5,
BA,2921450,Mirante,,,,,0,
BA,2921500,Monte Santo,42,43,53,77,9,
BA,2921609,Morpará,3,3,12,13,0,
BA,2921708,Morro do Chapéu,7,16,12,48,13,
BA,2921807,Mortugaba,11,6,1,18,8,
BA,2921906,Mucugê,4,,3,4,7,
BA,2922003,Mucuri,3,3,10,7,33,
BA,2922052,Mulungu do Morro,,,,,3,
BA,2922102,Mundo Novo,7,13,21,22,10,
BA,2922201,Muniz Ferreira,6,7,4,2,6,
BA,2922250,Muquém de São Francisco,,,,,2,
BA,2922300,Muritiba,39,12,29,12,14,
BA,2922409,Mutuípe,24,34,15,5,13,
BA,2922508,Nazaré,19,23,26,24,33,
BA,2922607,Nilo Peçanha,7,7,18,6,4,
BA,2922656,Nordestina,,,,,0,
BA,2922706,Nova Canaã,5,5,6,6,1,
BA,2922730,Nova Fátima,,,,,5,
BA,2922755,Nova Ibiá,,,,,2,
BA,2922805,Nova Itarana,1,1,5,,2,
BA,2922854,Nova Redenção,,,,,0,
BA,2922904,Nova Soure,10,19,20,26,5,
BA,2923001,Nova Viçosa,7,4,9,1,11,
BA,2923035,Novo Horizonte,,,,,1,
BA,2923050,Novo Triunfo,,,,,0,
BA,2923100,Olindina,6,5,17,7,6,
BA,2923209,Oliveira dos Brejinhos,15,15,12,13,10,
BA,2923308,Ouriçangas,4,2,1,2,3,
BA,2923357,Ourolândia,,,,,17,
BA,2923407,Palmas de Monte Alto,22,12,29,13,3,
BA,2923506,Palmeiras,9,6,6,7,5,
BA,2923605,Paramirim,22,20,15,13,9,
BA,2923704,Paratinga,19,76,5,6,1,
BA,2923803,Paripiranga,32,21,23,44,7,
BA,2923902,Pau Brasil,6,4,23,38,4,
BA,2924009,Paulo Afonso,50,37,43,114,65,
BA,2924058,Pé de Serra,,,,,2,
BA,2924108,Pedrão,3,3,3,4,2,
BA,2924207,Pedro Alexandre,11,7,4,6,2,
BA,2924306,Piatã,12,1,1,5,2,
BA,2924405,Pilão Arcado,7,17,18,5,0,
BA,2924504,Pindaí,10,4,4,2,4,
BA,2924603,Pindobaçu,2,9,30,20,2,
BA,2924652,Pintadas,,,,,3,
BA,2924678,Piraí do Norte,,,,,3,
BA,2924702,Piripá,10,,,5,3,
BA,2924801,Piritiba,19,15,19,33,8,
BA,2924900,Planaltino,4,,,6,0,
BA,2925006,Planalto,1,,8,4,4,
BA,2925105,Poções,18,32,41,65,27,
BA,2925204,Pojuca,13,19,11,12,29,
BA,2925253,Ponto Novo,,,,,3,
BA,2925303,Porto Seguro,15,52,73,68,53,
BA,2925402,Potiraguá,46,3,6,7,6,
BA,2925501,Prado,30,29,23,16,29,
BA,2925600,Presidente Dutra,5,25,4,16,2,
BA,2925709,Presidente Jânio Quadros,3,1,,,0,
BA,2925758,Presidente Tancredo Neves,,,,,7,
BA,2925808,Queimadas,19,34,31,37,7,
BA,2925907,Quijingue,20,7,24,44,4,
BA,2925931,Quixabeira,,,,,1,
BA,2925956,Rafael Jambeiro,,,,,5,
BA,2926004,Remanso,40,22,20,38,12,
BA,2926103,Retirolândia,6,8,12,10,10,
BA,2926202,Riachão das Neves,9,12,15,15,0,
BA,2926301,Riachão do Jacuípe,21,67,101,138,37,
BA,2926400,Riacho de Santana,10,15,20,39,18,
BA,2926509,Ribeira do Amparo,42,38,20,56,1,
BA,2926608,Ribeira do Pombal,116,77,143,146,28,
BA,2926657,Ribeirão do Largo,,,,,4,
BA,2926707,Rio de Contas,31,6,4,12,4,
BA,2926806,Rio do Antônio,10,5,9,19,5,
BA,2926905,Rio do Pires,1,10,4,16,5,
BA,2927002,Rio Real,30,37,23,58,11,
BA,2927101,Rodelas,1,5,5,4,1,
BA,2927200,Ruy Barbosa,59,23,25,33,24,
BA,2927309,Salinas da Margarida,7,2,2,3,2,
BA,2927408,Salvador,971,882,1457,1567,2681,
BA,2927507,Santa Bárbara,13,13,5,7,7,
BA,2927606,Santa Brígida,4,,4,8,3,
BA,2927705,Santa Cruz Cabrália,33,30,69,80,19,
BA,2927804,Santa Cruz da Vitória,9,16,4,18,3,
BA,2927903,Santa Inês,3,13,14,8,2,
BA,2928000,Santaluz,21,23,33,83,24,
BA,2928059,Santa Luzia,,,,,9,
BA,2928109,Santa Maria da Vitória,39,15,27,55,42,
BA,2928208,Santana,16,47,38,102,18,
BA,2928307,Santanópolis,1,4,1,,0,
BA,2928406,Santa Rita de Cássia,108,16,11,26,2,
BA,2928505,Santa Teresinha,,7,18,8,1,
BA,2928604,Santo Amaro,37,57,65,71,38,
BA,2928703,Santo Antônio de Jesus,42,35,62,60,185,
BA,2928802,Santo Estêvão,40,47,37,34,20,
BA,2928901,São Desidério,7,8,13,12,9,
BA,2928950,São Domingos,,,,,9,
